"Magic Link","Magic Link"
"Enable Magic Link","Enable Magic Link"
"Token Lifetime (days)","Token Lifetime (days)"
"How many days a <code>?t=TOKEN</code> link in the order/shipment email stays valid. Default <strong>30</strong> — enough to cover the typical EU timeline of shipment plus the 14-day post-delivery withdrawal window, so a customer opening an old email can still use the one-click link. The new value applies only to tokens issued from now on; previously issued tokens keep their original expiry.","How many days a <code>?t=TOKEN</code> link in the order/shipment email stays valid. Default <strong>30</strong> — enough to cover the typical EU timeline of shipment plus the 14-day post-delivery withdrawal window, so a customer opening an old email can still use the one-click link. The new value applies only to tokens issued from now on; previously issued tokens keep their original expiry."
"When <strong>enabled</strong>, the withdrawal CTA in order/shipment confirmation emails uses a one-click <code>?t=TOKEN</code> URL (lifetime configurable below). When <strong>disabled</strong>, the CTA falls back to the lookup-form URL <code>/withdraw-contract/</code> (the base module default) — customers enter their order number + email manually. Tokens already issued keep resolving until their lifetime expires; toggling this flag does not revoke active tokens.","When <strong>enabled</strong>, the withdrawal CTA in order/shipment confirmation emails uses a one-click <code>?t=TOKEN</code> URL (lifetime configurable below). When <strong>disabled</strong>, the CTA falls back to the lookup-form URL <code>/withdraw-contract/</code> (the base module default) — customers enter their order number + email manually. Tokens already issued keep resolving until their lifetime expires; toggling this flag does not revoke active tokens."
